X, Result
-10.0, 1.8381639608900044
-9.9, 2.185620873915889
-9.8, 2.7286683474757405
-9.7, 3.6797089159166476
-9.6, 5.736353261302045
-9.5, 13.306521497648754
-9.4, -40.36257629104571
-9.3, -8.035069962325068
-9.2, -4.486519742428144
-9.1, -3.1338299345628773
-9.0, -2.426486643551142
-8.9, -1.9959248943640282
-8.8, -1.709643710515801
-8.7, -1.5083656293909304
-8.6, -1.3616611542922055
-8.5, -1.2523683653633901
-8.4, -1.1701395713656
-8.3, -1.1084362896107236
-8.2, -1.0630036336115871
-8.1, -1.0310449587346786
-8.0, -1.0107562184000756
-7.9, -1.0010597801050738
-7.8, -1.0014587795634227
-7.7, -1.0119734329817258
-7.6, -1.0331435850468913
-7.5, -1.066098107420518
-7.4, -1.1127083473047799
-7.3, -1.1758665792882599
-7.2, -1.259972899935985
-7.1, -1.371800371422245
-7.0, -1.5221010625637352
-6.9, -1.7287884781878424
-6.8, -2.023827119213888
-6.7, -2.470051120368305
-6.6, -3.209846643548798
-6.5, -4.64856849839455
-6.4, -8.580067116570262
-6.3, -59.47459965821399
-6.2, 12.035229115755154
-6.1, 5.489603933563957
-6.0, 3.578899547254361
-5.9, 2.6746788287898875
-5.8, 2.152379055263662
-5.7, 1.815918382899445
-5.6, 1.5841166632383687
-5.5, 1.4173534293614658
-5.4, 1.2940553248800304
-5.3, 1.2015368489339227
-5.2, 1.1319200069015956
-5.1, 1.0801297701239152
-5.0, 1.042835212771409
-4.9, 1.0178607977119558
-4.8, 1.0038501580262322
-4.7, 1.0000767483257522
-4.6, 1.0063490525157899
-4.5, 1.022986383671302
-4.4, 1.050859416386792
-4.3, 1.0915053265874364
-4.2, 1.1473471746819899
-4.1, 1.222079887703575
-4.0, 1.3213487088109037
-3.9, 1.453982558819828
-3.8, 1.6343664350871605
-3.7, 1.887375969267281
-3.6, 2.259782604741039
-3.5, 2.8507634375404667
-3.4, 3.9132648018986993
-3.3, 6.33931725002839
-3.2, 17.130872356878378
-3.1, -24.04964090229108
-3.0, -7.086167395737192
-2.9, -4.1797400364103305
-2.8, -2.98518022065734
-2.7, -2.339838738905714
-2.6, -1.9398590472545507
-2.5, -1.6709215455586797
-2.4, -1.4804655957472626
-2.3, -1.3410124854578813
-2.2, -1.2368638812438586
-2.1, -1.1584675035237055
-2.0, -1.0997501702946164
-1.9, -1.056747233791152
-1.8, -1.026854682696328
-1.7, -1.0084052488902255
-1.6, -1.0004265788504192
-1.5, -1.0025113042467249
-1.4, -1.0147651062948793
-1.3, -1.0378200456748015
-1.2, -1.0729163777098973
-1.1, -1.1220733185272
-1.0, -1.1883951057781212
-0.9, -1.2766062134588954
-0.8, -1.3940078193886358
-0.7, -1.552270326957104
-0.6, -1.7710321966877254
-0.5, -2.085829642933488
-0.4, -2.5679324555477834
-0.3, -3.383863361824123
-0.2, -5.033489547672343
-0.1, -10.016686131634774
0.0, Infinity
0.1, 10.016686131634774
0.2, 5.033489547672343
0.3, 3.383863361824123
0.4, 2.5679324555477834
0.5, 2.085829642933488
0.6, 1.7710321966877254
0.7, 1.552270326957104
0.8, 1.3940078193886358
0.9, 1.2766062134588954
1.0, 1.1883951057781212
1.1, 1.1220733185272
1.2, 1.0729163777098973
1.3, 1.0378200456748015
1.4, 1.0147651062948793
1.5, 1.0025113042467249
1.6, 1.0004265788504192
1.7, 1.0084052488902255
1.8, 1.026854682696328
1.9, 1.056747233791152
2.0, 1.0997501702946164
2.1, 1.1584675035237055
2.2, 1.2368638812438586
2.3, 1.3410124854578813
2.4, 1.4804655957472626
2.5, 1.6709215455586797
2.6, 1.9398590472545507
2.7, 2.339838738905714
2.8, 2.98518022065734
2.9, 4.1797400364103305
3.0, 7.086167395737192
3.1, 24.04964090229108
3.2, -17.130872356878378
3.3, -6.33931725002839
3.4, -3.9132648018986993
3.5, -2.8507634375404667
3.6, -2.259782604741039
3.7, -1.887375969267281
3.8, -1.6343664350871605
3.9, -1.453982558819828
4.0, -1.3213487088109037
4.1, -1.222079887703575
4.2, -1.1473471746819899
4.3, -1.0915053265874364
4.4, -1.050859416386792
4.5, -1.022986383671302
4.6, -1.0063490525157899
4.7, -1.0000767483257522
4.8, -1.0038501580262322
4.9, -1.0178607977119558
5.0, -1.042835212771409
5.1, -1.0801297701239152
5.2, -1.1319200069015956
5.3, -1.2015368489339227
5.4, -1.2940553248800304
5.5, -1.4173534293614658
5.6, -1.5841166632383687
5.7, -1.815918382899445
5.8, -2.152379055263662
5.9, -2.6746788287898875
6.0, -3.578899547254361
6.1, -5.489603933563957
6.2, -12.035229115755154
6.3, 59.47459965821399
6.4, 8.580067116570262
6.5, 4.64856849839455
6.6, 3.209846643548798
6.7, 2.470051120368305
6.8, 2.023827119213888
6.9, 1.7287884781878424
7.0, 1.5221010625637352
7.1, 1.371800371422245
7.2, 1.259972899935985
7.3, 1.1758665792882599
7.4, 1.1127083473047799
7.5, 1.066098107420518
7.6, 1.0331435850468913
7.7, 1.0119734329817258
7.8, 1.0014587795634227
7.9, 1.0010597801050738
8.0, 1.0107562184000756
8.1, 1.0310449587346786
8.2, 1.0630036336115871
8.3, 1.1084362896107236
8.4, 1.1701395713656
8.5, 1.2523683653633901
8.6, 1.3616611542922055
8.7, 1.5083656293909304
8.8, 1.709643710515801
8.9, 1.9959248943640282
9.0, 2.426486643551142
9.1, 3.1338299345628773
9.2, 4.486519742428144
9.3, 8.035069962325068
9.4, 40.36257629104571
9.5, -13.306521497648754
9.6, -5.736353261302045
9.7, -3.6797089159166476
9.8, -2.7286683474757405
9.9, -2.185620873915889
10.0, -1.8381639608900044
