X, Result
-2.0, 2.497414895603382E18
-1.9, 2.499964655629907E23
-1.8, 2.3283811051334201E30
-1.7, 4.151282008927728E41
-1.6, 1.617345115429594E71
-1.5, 3.1352983555585753E53
-1.4, 9.695141475935851E35
-1.3, 9.459126975998302E26
-1.2, 1.020054103878767E21
-1.1, 4.557789200904703E16
-1.0, 2.12811765770906E13
-0.9, 5.015941613898275E10
-0.8, 3.766916528911977E8
-0.7, 6041837.317294742
-0.6, 100055.27819947657
-0.5, 949.2788652757719
-0.4, 18.90550577969439
-0.3, 456380.906321625
-0.2, 5.644420289314635E7
-0.1, 7.516092440212872E10
0.0, NaN
0.1, 12.392810534646006
0.2, 5.44450864901942
0.3, 3.2658932659268336
0.4, 2.249898916062744
0.5, 1.6953091168623045
0.6, 1.3712370962506562
0.7, 1.1791286985825442
0.8, 1.0696953864108412
0.9, 1.0154918423718198
1.0, NaN
1.1, 1.0126753160866568
1.2, 1.0464686530962752
1.3, 1.0964893764387191
1.4, 1.159239301209174
1.5, 1.232151568388225
1.6, 1.3133014470253366
1.7, 1.4012185555138885
1.8, 1.4947612597513529
1.9, 1.5930304679033165
2.0, 1.6953091168623045
