X, Result
-10.0, -1.1917935066878036
-9.9, -1.124617577499709
-9.8, -1.074776185906519
-9.7, -1.0391069135599913
-9.6, -1.0155502519054644
-9.5, -1.0028358631817624
-9.4, -1.0003070522169146
-9.3, -1.0078355937385985
-9.2, -1.025805552853349
-9.1, -1.0551621887179599
-9.0, -1.0975379063050403
-8.9, -1.1554880010912965
-8.8, -1.232904220186029
-8.7, -1.3357436460591336
-8.6, -1.473361519154268
-8.5, -1.661096725065109
-8.4, -1.9257112437805854
-8.3, -2.318158732111697
-8.2, -2.9485055797188737
-8.1, -4.106031635994549
-8.0, -6.872850636697149
-7.9, -21.738125925762134
-7.8, 18.533819022480895
-7.7, 6.5200157752645485
-7.6, 3.979943590358315
-7.5, 2.8848762620191066
-7.4, 2.2802556009885837
-7.3, 1.9008605518407475
-7.2, 1.6437870291590422
-7.1, 1.4608207869836383
-7.0, 1.3264319004737015
-6.9, 1.2259031870495578
-6.8, 1.1502218618064255
-6.7, 1.0936334532519594
-6.6, 1.0523739224087139
-6.5, 1.0239736544424487
-6.4, 1.0068618452748221
-6.3, 1.0001413836030824
-6.2, 1.0034699015597162
-6.1, 1.0170162703319536
-6.0, 1.0414819265951087
-5.9, 1.078192189545352
-5.8, 1.1292805871225777
-5.7, 1.198016872585325
-5.6, 1.2893811186238007
-5.5, 1.4110944706229345
-5.4, 1.575565187359001
-5.3, 1.8038353053861773
-5.2, 2.134395767016085
-5.1, 2.6456584263993594
-5.0, 3.52532008581597
-4.9, 5.361574693924878
-4.8, 11.42870420537215
-4.7, -80.71895753705991
-4.6, -8.9164286113588
-4.5, -4.743927548368333
-4.4, -3.253801001078218
-4.3, -2.49501513391467
-4.2, -2.0397306014894756
-4.1, -1.739663084725233
-4.0, -1.5298856564663956
-3.9, -1.3775389168027707
-3.8, -1.2642741099755541
-3.7, -1.1791061933852849
-3.6, -1.1151275324383276
-3.5, -1.0678550471918105
-3.4, -1.0343420247114394
-3.3, -1.012678973759929
-3.2, -1.00170813696174
-3.1, -1.0008655983392076
-3.0, -1.0101086659079936
-2.9, -1.0299104903720906
-2.8, -1.061320621298726
-2.7, -1.1061064195263397
-2.6, -1.1670126326998647
-2.5, -1.2482156514688179
-2.4, -1.3561276410743501
-2.3, -1.5008794674602546
-2.2, -1.699232118137352
-2.1, -1.9808016559672248
-2.0, -2.4029979617223813
-1.9, -3.0932022016726943
-1.8, -4.40136787185363
-1.7, -7.76129399605039
-1.6, -34.24713561001681
-1.5, 14.136832902970188
-1.4, 5.883490084827363
-1.3, 3.738334127075442
-1.2, 2.7597036013324057
-1.1, 2.204604388717359
-1.0, 1.8508157176809255
-0.9, 1.6087258104660493
-0.8, 1.4353241996722401
-0.7, 1.3074592597335937
-0.6, 1.2116283145123168
-0.5, 1.139493927324549
-0.4, 1.0857044283832387
-0.3, 1.0467516015380856
-0.2, 1.0203388449411928
-0.1, 1.0050209184004555
0.0, 1.0
0.1, 1.0050209184004555
0.2, 1.0203388449411928
0.3, 1.0467516015380856
0.4, 1.0857044283832387
0.5, 1.139493927324549
0.6, 1.2116283145123168
0.7, 1.3074592597335937
0.8, 1.4353241996722401
0.9, 1.6087258104660493
1.0, 1.8508157176809255
1.1, 2.204604388717359
1.2, 2.7597036013324057
1.3, 3.738334127075442
1.4, 5.883490084827363
1.5, 14.136832902970188
1.6, -34.24713561001681
1.7, -7.76129399605039
1.8, -4.40136787185363
1.9, -3.0932022016726943
2.0, -2.4029979617223813
2.1, -1.9808016559672248
2.2, -1.699232118137352
2.3, -1.5008794674602546
2.4, -1.3561276410743501
2.5, -1.2482156514688179
2.6, -1.1670126326998647
2.7, -1.1061064195263397
2.8, -1.061320621298726
2.9, -1.0299104903720906
3.0, -1.0101086659079936
3.1, -1.0008655983392076
3.2, -1.00170813696174
3.3, -1.012678973759929
3.4, -1.0343420247114394
3.5, -1.0678550471918105
3.6, -1.1151275324383276
3.7, -1.1791061933852849
3.8, -1.2642741099755541
3.9, -1.3775389168027707
4.0, -1.5298856564663956
4.1, -1.739663084725233
4.2, -2.0397306014894756
4.3, -2.49501513391467
4.4, -3.253801001078218
4.5, -4.743927548368333
4.6, -8.9164286113588
4.7, -80.71895753705991
4.8, 11.42870420537215
4.9, 5.361574693924878
5.0, 3.52532008581597
5.1, 2.6456584263993594
5.2, 2.134395767016085
5.3, 1.8038353053861773
5.4, 1.575565187359001
5.5, 1.4110944706229345
5.6, 1.2893811186238007
5.7, 1.198016872585325
5.8, 1.1292805871225777
5.9, 1.078192189545352
6.0, 1.0414819265951087
6.1, 1.0170162703319536
6.2, 1.0034699015597162
6.3, 1.0001413836030824
6.4, 1.0068618452748221
6.5, 1.0239736544424487
6.6, 1.0523739224087139
6.7, 1.0936334532519594
6.8, 1.1502218618064255
6.9, 1.2259031870495578
7.0, 1.3264319004737015
7.1, 1.4608207869836383
7.2, 1.6437870291590422
7.3, 1.9008605518407475
7.4, 2.2802556009885837
7.5, 2.8848762620191066
7.6, 3.979943590358315
7.7, 6.5200157752645485
7.8, 18.533819022480895
7.9, -21.738125925762134
8.0, -6.872850636697149
8.1, -4.106031635994549
8.2, -2.9485055797188737
8.3, -2.318158732111697
8.4, -1.9257112437805854
8.5, -1.661096725065109
8.6, -1.473361519154268
8.7, -1.3357436460591336
8.8, -1.232904220186029
8.9, -1.1554880010912965
9.0, -1.0975379063050403
9.1, -1.0551621887179599
9.2, -1.025805552853349
9.3, -1.0078355937385985
9.4, -1.0003070522169146
9.5, -1.0028358631817624
9.6, -1.0155502519054644
9.7, -1.0391069135599913
9.8, -1.074776185906519
9.9, -1.124617577499709
10.0, -1.1917935066878036
