X, Result
-2.0, 2.4974148954837647E18
-1.9, 2.4999646555753985E23
-1.8, 2.3283811051090754E30
-1.7, 4.151282008902523E41
-1.6, 1.6173451154206041E71
-1.5, 3.1352983555584426E53
-1.4, 9.695141475935177E35
-1.3, 9.459126975998354E26
-1.2, 1.020054103878789E21
-1.1, 4.557789200904782E16
-1.0, 2.12811765770908E13
-0.9, 5.015941613898275E10
-0.8, 3.766916528911958E8
-0.7, 6041837.3172948
-0.6, 100055.27819947577
-0.5, 949.2788652757719
-0.4, 18.905505779686482
-0.3, 456380.906321625
-0.2, 5.644420289314635E7
-0.1, 7.51609244021278E10
0.0, NaN
0.1, 1.0010682381334968
0.2, 1.0005932051940818
0.3, 1.0003420160533572
0.4, 1.0001994686854672
0.5, 1.0001143029361845
0.6, 1.0000620932970012
0.7, 1.0000302729186554
0.8, 1.0000118489073695
0.9, 1.0000026415899708
1.0, NaN
1.1, 1.0000021616640986
1.2, 1.0000079101672394
1.3, 1.0000163801764745
1.4, 1.0000269402049968
1.5, 1.0000391157221211
1.6, 1.0000525192319507
1.7, 1.000066725852201
1.8, 1.0000809574904377
1.9, 1.0000933110613293
2.0, 1.000099193600945
