X, Result
-10.0, -0.648360827458917
-9.9, -0.5145529084761974
-9.8, -0.393883040751648
-9.7, -0.282388345737163
-9.6, -0.17703760658473697
-9.5, -0.07536423875758683
-9.4, 0.02478303280256243
-9.3, 0.1254295978086252
-9.2, 0.22864171155929738
-9.1, 0.33670052643272724
-9.0, 0.4523156594420002
-8.9, 0.578923587933641
-8.8, 0.7211468755756488
-8.7, 0.8855569366152286
-8.6, 1.0820324237861692
-8.5, 1.3263643277855564
-8.4, 1.6457107262283275
-8.3, 2.0913775142871054
-8.2, 2.7737492953822147
-8.1, 3.982398246758864
-8.0, 6.7997114552272295
-7.9, 21.71511268136299
-7.8, -18.50682164927502
-7.7, -6.442872473493369
-7.6, -3.852265694683356
-7.5, -2.706013866771812
-7.4, -2.0492841691282857
-7.3, -1.6165614239936295
-7.2, -1.304620940055582
-7.1, -1.0648931268833957
-7.0, -0.8714479827243138
-6.9, -0.7091111506796823
-6.8, -0.5683399786900791
-6.7, -0.4427574167326908
-6.6, -0.32785800671312193
-6.5, -0.22027720034588988
-6.4, -0.1173489474610658
-6.3, -0.016816277694186272
-6.2, 0.08337771486594196
-6.1, 0.1852622306891432
-6.0, 0.2910061913847531
-5.9, 0.40311089987322385
-5.8, 0.5246662219467859
-5.7, 0.6597305715207711
-5.6, 0.8139432836896949
-5.5, 0.995584052213885
-5.4, 1.2175408246205153
-5.3, 1.5012733958069209
-5.2, 1.885641877519743
-5.1, 2.449389415584614
-5.0, 3.3805150062464624
-4.9, 5.267493065827011
-4.8, 11.384870654245091
-4.7, -80.7127629676353
-4.6, -8.860174895647255
-4.5, -4.637332054551193
-4.4, -3.0963237806498234
-4.3, -2.2858478773670043
-4.2, -1.7777797745088166
-4.1, -1.4235264831943635
-4.0, -1.157821282349575
-3.9, -0.9474246499358938
-3.8, -0.7735560905031255
-3.7, -0.624733075224561
-3.6, -0.49346672998490326
-3.5, -0.3745856401585943
-3.4, -0.2643169008674243
-3.3, -0.1597457476600329
-3.2, -0.058473854459579505
-3.1, 0.041616654585635016
-3.0, 0.14254654307427767
-2.9, 0.2464053939719669
-2.8, 0.3555298316511765
-2.7, 0.4727276291030377
-2.6, 0.6015966130897591
-2.5, 0.7470222972386603
-2.4, 0.9160142896734098
-2.3, 1.1192136417341316
-2.2, 1.3738230567687937
-2.1, 1.7098465429045089
-2.0, 2.1850398632615193
-1.9, 2.9270975146777745
-1.8, 4.286261674628061
-1.7, 7.696602139459193
-1.6, 34.23253273555554
-1.5, -14.101419947172005
-1.4, -5.797883715482907
-1.3, -3.602102447967979
-1.2, -2.572151622126318
-1.1, -1.9647596572486516
-1.0, -1.557407724654902
-0.9, -1.2601582175503392
-0.8, -1.0296385570503643
-0.7, -0.8422883804630793
-0.6, -0.6841368083416924
-0.5, -0.5463024898437905
-0.4, -0.4227932187381617
-0.3, -0.3093362496096232
-0.2, -0.2027100355086725
-0.1, -0.10033467208545056
0.0, 0.0
0.1, 0.10033467208545056
0.2, 0.2027100355086725
0.3, 0.3093362496096232
0.4, 0.4227932187381617
0.5, 0.5463024898437905
0.6, 0.6841368083416924
0.7, 0.8422883804630793
0.8, 1.0296385570503643
0.9, 1.2601582175503392
1.0, 1.557407724654902
1.1, 1.9647596572486516
1.2, 2.572151622126318
1.3, 3.602102447967979
1.4, 5.797883715482907
1.5, 14.101419947172005
1.6, -34.23253273555554
1.7, -7.696602139459193
1.8, -4.286261674628061
1.9, -2.9270975146777745
2.0, -2.1850398632615193
2.1, -1.7098465429045089
2.2, -1.3738230567687937
2.3, -1.1192136417341316
2.4, -0.9160142896734098
2.5, -0.7470222972386603
2.6, -0.6015966130897591
2.7, -0.4727276291030377
2.8, -0.3555298316511765
2.9, -0.2464053939719669
3.0, -0.14254654307427767
3.1, -0.041616654585635016
3.2, 0.058473854459579505
3.3, 0.1597457476600329
3.4, 0.2643169008674243
3.5, 0.3745856401585943
3.6, 0.49346672998490326
3.7, 0.624733075224561
3.8, 0.7735560905031255
3.9, 0.9474246499358938
4.0, 1.157821282349575
4.1, 1.4235264831943635
4.2, 1.7777797745088166
4.3, 2.2858478773670043
4.4, 3.0963237806498234
4.5, 4.637332054551193
4.6, 8.860174895647255
4.7, 80.7127629676353
4.8, -11.384870654245091
4.9, -5.267493065827011
5.0, -3.3805150062464624
5.1, -2.449389415584614
5.2, -1.885641877519743
5.3, -1.5012733958069209
5.4, -1.2175408246205153
5.5, -0.995584052213885
5.6, -0.8139432836896949
5.7, -0.6597305715207711
5.8, -0.5246662219467859
5.9, -0.40311089987322385
6.0, -0.2910061913847531
6.1, -0.1852622306891432
6.2, -0.08337771486594196
6.3, 0.016816277694186272
6.4, 0.1173489474610658
6.5, 0.22027720034588988
6.6, 0.32785800671312193
6.7, 0.4427574167326908
6.8, 0.5683399786900791
6.9, 0.7091111506796823
7.0, 0.8714479827243138
7.1, 1.0648931268833957
7.2, 1.304620940055582
7.3, 1.6165614239936295
7.4, 2.0492841691282857
7.5, 2.706013866771812
7.6, 3.852265694683356
7.7, 6.442872473493369
7.8, 18.50682164927502
7.9, -21.71511268136299
8.0, -6.7997114552272295
8.1, -3.982398246758864
8.2, -2.7737492953822147
8.3, -2.0913775142871054
8.4, -1.6457107262283275
8.5, -1.3263643277855564
8.6, -1.0820324237861692
8.7, -0.8855569366152286
8.8, -0.7211468755756488
8.9, -0.578923587933641
9.0, -0.4523156594420002
9.1, -0.33670052643272724
9.2, -0.22864171155929738
9.3, -0.1254295978086252
9.4, -0.02478303280256243
9.5, 0.07536423875758683
9.6, 0.17703760658473697
9.7, 0.282388345737163
9.8, 0.393883040751648
9.9, 0.5145529084761974
10.0, 0.648360827458917
